City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Santa Maria,BR,-29.6842,-53.8069,60.28,92,1,6.38,clear sky
80,Half Moon Bay,US,37.4636,-122.4286,65.25,43,0,0.0,clear sky
81,Goderich,CA,43.7501,-81.7165,36.21,99,100,14.12,light snow
82,Kahului,US,20.8947,-156.47,74.84,78,94,1.01,overcast clouds
83,Necochea,AR,-38.5473,-58.7368,63.03,74,5,13.89,clear sky
84,Cape Town,ZA,-33.9258,18.4232,69.12,85,62,1.01,broken clouds
85,Zima,RU,53.9202,102.0442,-4.16,86,100,6.31,overcast clouds
86,Kawalu,ID,-7.3817,108.2082,81.75,74,100,2.84,overcast clouds
87,Shimoda,JP,34.6667,138.95,35.1,96,100,11.23,light snow
88,Cherskiy,RU,68.75,161.3,-41.93,100,96,5.01,overcast clouds
89,Sorland,NO,67.667,12.6934,37.26,87,75,24.16,broken clouds
90,Narsaq,GL,60.9167,-46.05,14.22,69,22,8.66,few clouds
91,Victoria,HK,22.2855,114.1577,71.19,86,77,5.99,broken clouds
92,Mataura,NZ,-46.1927,168.8643,66.47,65,37,4.52,scattered clouds
93,Anadyr,RU,64.75,177.4833,-33.74,98,35,5.37,scattered clouds
94,Laguna,US,38.421,-121.4238,61.88,84,0,4.61,clear sky
95,Coromandel,BR,-18.4733,-47.2003,65.05,99,100,2.75,light rain
96,Taguatinga,BR,-12.3857,-46.5711,69.82,95,99,0.6,overcast clouds
97,Gouyave,GD,12.1646,-61.7296,74.17,88,75,8.05,broken clouds
98,Lagoa,PT,39.05,-27.9833,57.92,70,5,13.4,clear sky
99,Dunedin,NZ,-45.8742,170.5036,65.8,90,37,1.99,light rain
100,Jieshi,CN,22.8134,115.8257,67.95,77,75,14.9,broken clouds
101,Forest Hills,US,42.9595,-85.4898,33.67,88,100,10.36,overcast clouds
102,Cabo San Lucas,MX,22.8909,-109.9124,69.51,73,11,4.0,few clouds
103,Turbat,PK,26.0023,63.044,75.97,10,0,5.1,clear sky
104,Kapaa,US,22.0752,-159.319,71.92,82,100,3.44,overcast clouds
105,Husavik,IS,66.0449,-17.3389,7.21,94,47,17.72,scattered clouds
106,Colorado,BR,-22.8375,-51.9731,66.0,88,0,9.6,clear sky
107,Upernavik,GL,72.7868,-56.1549,-16.74,82,100,10.54,overcast clouds
108,Det Udom,TH,14.906,105.0784,100.29,31,1,5.88,clear sky
109,San Ignacio,BZ,17.1561,-89.0714,66.34,94,0,0.0,clear sky
110,Newport,GB,51.5877,-2.9984,43.86,82,100,7.72,overcast clouds
111,Laela,TZ,-8.5667,32.05,63.64,88,100,2.21,light rain
